Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2025-06-01,UAL,1857,ORD,MIA,2,E6,S,H17,false,,2025-06-01T10:54,2025-06-01T11:54,,,,,2025-06-01T15:14,2025-06-01T15:48,Boeing 737-800,,,,,,,,f36663b4-6c5e-4ac2-a050-f868d793b867,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-06-01,UAL,2106,MIA,ORD,S,H17,1,C21,false,,2025-06-01T16:16,2025-06-01T16:52,,,,,2025-06-01T18:50,2025-06-01T19:32,Boeing 737-800,,,,,,,,eef0681e-4a40-4399-bb26-512f2d1ba00b,b57b4c86-4724-48f1-80be-d7de4036004a,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,a5eff314-18e7-4c87-bd38-0131882f1b8d,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-06-05,UAL,1899,ORD,YYC,2,E8,Main,D92,false,,2025-06-05T20:01,2025-06-05T19:59,,,,,2025-06-05T22:53,2025-06-05T22:43,Airbus A319,,,,,,,,894f212f-baf0-4c47-8297-8356c21617c7,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,36b39d54-6daa-4e19-952c-7c6e8783c00f,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2025-06-06,UAL,355,YYC,DEN,Main,E88,Main,B47,false,,2025-06-06T19:30,2025-06-06T20:15,,,,,2025-06-06T22:04,2025-06-06T22:33,Boeing 737-800,,,,,,,,b42c9585-c876-4990-81c5-3c4739c6545f,b57b4c86-4724-48f1-80be-d7de4036004a,36b39d54-6daa-4e19-952c-7c6e8783c00f,d00b5728-0678-4689-b660-fe9e583203dc,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-06-07,UAL,2329,DEN,ORD,Main,B31,1,B5,false,,2025-06-07T09:40,2025-06-07T09:50,,,,,2025-06-07T13:21,2025-06-07T13:21,Airbus A321neo,,,,,,,,87110a41-d3dc-4313-b4b0-932d9d84c083,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,a5eff314-18e7-4c87-bd38-0131882f1b8d,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-06-08,UAL,2326,ORD,TPA,1,C3,,A8,false,,2025-06-08T07:36,2025-06-08T07:34,,,,,2025-06-08T11:27,2025-06-08T11:19,Boeing 737 MAX 9,,,,,,,,dbf2b8b9-2bfa-4371-bc7e-68e4299cd07e,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,af50854a-e728-4e40-885b-d8b73b69f6e8,,8240381a-dce7-4694-a1d8-4769a0c6507a
2025-06-08,UAL,2184,TPA,ORD,,A8,1,B8,false,,2025-06-08T12:35,2025-06-08T12:58,,,,,2025-06-08T14:39,2025-06-08T14:54,Boeing 737 MAX 9,,,,,,,,5bf544da-7a41-487c-9705-b29ef9474822,b57b4c86-4724-48f1-80be-d7de4036004a,af50854a-e728-4e40-885b-d8b73b69f6e8,a5eff314-18e7-4c87-bd38-0131882f1b8d,,8240381a-dce7-4694-a1d8-4769a0c6507a
2025-06-12,UAL,2343,ORD,BUF,1,C22,,12,false,,2025-06-12T14:10,2025-06-12T14:06,,,,,2025-06-12T16:55,2025-06-12T16:28,Airbus A320,,,,,,,,c5add972-10a0-4f58-98ee-2db55f0dcd84,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,b82e1bd6-c2e0-416e-ac07-9bceb09e5389,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-06-13,UAL,1727,BUF,DEN,,12,Main,B20,false,,2025-06-13T08:20,2025-06-13T08:29,,,,,2025-06-13T10:05,2025-06-13T09:58,Airbus A320,,,,,,,,5d610267-ee4e-4723-bfc5-a1cf011d4509,b57b4c86-4724-48f1-80be-d7de4036004a,b82e1bd6-c2e0-416e-ac07-9bceb09e5389,d00b5728-0678-4689-b660-fe9e583203dc,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-06-13,UAL,1623,DEN,ORD,Main,B24,1,B14,false,,2025-06-13T11:25,2025-06-13T11:21,,,,,2025-06-13T15:05,2025-06-13T15:16,Boeing 757-300,,,,,,,,624bc5c1-1370-445d-bf89-1a82c7823679,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,a5eff314-18e7-4c87-bd38-0131882f1b8d,,0e3e6575-bd45-480c-bd83-360ac9fc02d2
2025-06-14,UAL,2609,ORD,SNA,1,B4,B,10,false,,2025-06-14T09:05,2025-06-14T08:59,,,,,2025-06-14T11:39,2025-06-14T11:29,Boeing 737-700,,,,,,,,b28e804e-78e3-43eb-aada-400b09694ab4,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,1994cd57-1fbf-443e-b905-9eb6354ccf12,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2025-06-14,UAL,1641,SNA,ORD,A,8,1,B2,false,,2025-06-14T13:59,2025-06-14T13:55,,,,,2025-06-14T20:10,2025-06-14T20:42,Boeing 737 MAX 8,,,,,,,,66402a31-7a5c-4024-90b9-d5e68240fa7e,b57b4c86-4724-48f1-80be-d7de4036004a,1994cd57-1fbf-443e-b905-9eb6354ccf12,a5eff314-18e7-4c87-bd38-0131882f1b8d,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-06-15,UAL,503,ORD,DEN,1,B2,Main,B27,false,,2025-06-15T14:33,2025-06-15T14:27,,,,,2025-06-15T16:26,2025-06-15T15:57,Airbus A321neo,,,,,,,,a1032bcd-2aab-44aa-8e02-53b028794e1a,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,d00b5728-0678-4689-b660-fe9e583203dc,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-06-15,UAL,1898,DEN,ORD,Main,B12,1,C23,false,,2025-06-15T17:45,2025-06-15T17:51,,,,,2025-06-15T21:20,2025-06-15T21:43,Airbus A321neo,,,,,,,,901d74de-1a56-4db6-874a-db03e1cdd463,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,a5eff314-18e7-4c87-bd38-0131882f1b8d,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-06-18,UAL,944,ORD,FRA,1,C16,1,A20,false,,2025-06-18T15:10,2025-06-18T15:15,,,,,2025-06-19T06:30,2025-06-19T08:32,Boeing 787-10,,,,,,,,7fa08756-a231-442f-ad92-e92e55a19b56,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2025-06-20,UAL,945,FRA,ORD,1,Z22,5,M19,false,,2025-06-20T08:50,2025-06-20T08:47,,,,,2025-06-20T11:00,2025-06-20T10:51,Boeing 787-10,,,,,,,,740735ae-8c12-4cb1-8588-d663d8744f8a,b57b4c86-4724-48f1-80be-d7de4036004a,9e8dd658-32ff-4277-acb3-8c2b5dc39431,a5eff314-18e7-4c87-bd38-0131882f1b8d,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2025-06-27,UAL,468,ORD,IAH,1,C20,E,2,false,,2025-06-27T06:00,2025-06-27T05:58,,,,,2025-06-27T08:50,2025-06-27T08:33,Boeing 737-900ER,,,,,,,,03ae405c-e336-42f0-a548-ea069fe9812d,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,9a82d843-2e36-4dba-8a6c-ea86d70b316b,,24012541-435d-4a27-af8a-4791336f1965
2025-06-27,UAL,1192,IAH,SJU,C,36,B,B6,false,,2025-06-27T10:04,2025-06-27T10:03,,,,,2025-06-27T15:42,2025-06-27T15:27,Boeing 737 MAX 9,,,,,,,,df156eb5-f1dc-4cbc-b0d1-32d8663fa42b,b57b4c86-4724-48f1-80be-d7de4036004a,9a82d843-2e36-4dba-8a6c-ea86d70b316b,1f1a1626-74d4-4ce1-b3db-9a365053202a,,8240381a-dce7-4694-a1d8-4769a0c6507a
2025-06-28,UAL,2089,SJU,ORD,B,B8,1,B3,false,,2025-06-28T07:45,2025-06-28T07:37,,,,,2025-06-28T11:55,2025-06-28T11:24,Boeing 737 MAX 9,,,,,,,,10572919-1f09-4c9e-b1dc-ac08caedd064,b57b4c86-4724-48f1-80be-d7de4036004a,1f1a1626-74d4-4ce1-b3db-9a365053202a,a5eff314-18e7-4c87-bd38-0131882f1b8d,,8240381a-dce7-4694-a1d8-4769a0c6507a
